epoch,accuracy,learning_rate,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0,0.9688481688499451,0.0010000000474974513,0.0778450071811676,0.9959685802459717,0.9568256139755249,0.9820069670677185,0.9963648319244385,0.9865829348564148,0.031495753675699234,0.9969537258148193,0.960523247718811,0.999498724937439,0.9989780187606812
1,0.9876716732978821,0.0010000000474974513,0.03170270100235939,0.9986984729766846,0.9812869429588318,0.9943045973777771,0.9990023374557495,0.9858115315437317,0.03070038929581642,0.9970971345901489,0.9582763314247131,0.9995501637458801,0.9990370869636536
2,0.9890804886817932,0.0010000000474974513,0.028780993074178696,0.998810887336731,0.9818711876869202,0.9965610504150391,0.9990955591201782,0.9854216575622559,0.03089040331542492,0.9986973404884338,0.9570551514625549,0.9996786713600159,0.9993810653686523
3,0.9898759722709656,0.0010000000474974513,0.026897624135017395,0.998893141746521,0.982524573802948,0.9974936246871948,0.9991613626480103,0.9845797419548035,0.03305612504482269,0.9977863430976868,0.9545588493347168,0.9998071789741516,0.9992130994796753
4,0.9904193878173828,0.0010000000474974513,0.025674303993582726,0.9989604949951172,0.9830102324485779,0.9980891346931458,0.9992162585258484,0.9867322444915771,0.028545405715703964,0.9973980188369751,0.9606772661209106,0.9998071789741516,0.9991247057914734
5,0.9906100630760193,0.0010000000474974513,0.02503088116645813,0.9990124702453613,0.9831388592720032,0.9983419179916382,0.9992498755455017,0.987188458442688,0.0277523435652256,0.998776912689209,0.961972713470459,0.9998200535774231,0.9994084239006042
6,0.9912855625152588,0.0005000000237487257,0.023775311186909676,0.9990537166595459,0.9841363430023193,0.9986689686775208,0.9992849826812744,0.9878313541412354,0.026711763814091682,0.9988433122634888,0.9638316631317139,0.9998071789741516,0.9994360208511353
7,0.9912927150726318,0.0005000000237487257,0.023333951830863953,0.9990843534469604,0.984200656414032,0.9986161589622498,0.9993076324462891,0.9883414506912231,0.026040807366371155,0.9987205862998962,0.9653143882751465,0.9997943639755249,0.9993913173675537
8,0.9914461970329285,0.0005000000237487257,0.022944597527384758,0.9990988969802856,0.9844371676445007,0.9986804127693176,0.9993199706077576,0.9858903288841248,0.029741285368800163,0.9988745450973511,0.9582635164260864,0.9998200535774231,0.9994646310806274
9,0.9914469122886658,0.0005000000237487257,0.022879552096128464,0.9991098642349243,0.984344482421875,0.9987789392471313,0.9993278980255127,0.9871386885643005,0.027143286541104317,0.9988165497779846,0.961807131767273,0.9998457431793213,0.9994552135467529
10,0.9918211102485657,0.0002500000118743628,0.02220712974667549,0.9991271495819092,0.9850245118141174,0.9988275170326233,0.9993452429771423,0.9888391494750977,0.024324338883161545,0.9986202716827393,0.9668120741844177,0.999730110168457,0.9994969367980957
11,0.9919624924659729,0.0002500000118743628,0.021982140839099884,0.9991520643234253,0.9852596521377563,0.9988689422607422,0.9993637800216675,0.9887603521347046,0.024307487532496452,0.9979007244110107,0.9665838479995728,0.999730110168457,0.9993295669555664
12,0.9919574856758118,0.0002500000118743628,0.021932264789938927,0.999153196811676,0.9852840900421143,0.9988332390785217,0.9993609189987183,0.989482045173645,0.024406850337982178,0.9990055561065674,0.9686433672904968,0.9997686147689819,0.9995595216751099
13,0.9920831322669983,0.0002500000118743628,0.021815801039338112,0.9991573095321655,0.9854285717010498,0.9989374876022339,0.9993635416030884,0.9896396398544312,0.023877359926700592,0.9990550875663757,0.9691370129585266,0.999730110168457,0.9995834231376648
14,0.9921895265579224,0.0002500000118743628,0.021534286439418793,0.999160885810852,0.9856436848640442,0.9989289045333862,0.9993740320205688,0.9893410205841064,0.024479569867253304,0.9977253079414368,0.9682101011276245,0.9997943639755249,0.9992960691452026
15,0.9922231435775757,0.0002500000118743628,0.02139597199857235,0.9991757869720459,0.9856282472610474,0.9990131855010986,0.9993834495544434,0.9895815849304199,0.02358759380877018,0.9991289377212524,0.9689446687698364,0.9997557997703552,0.9996187090873718
16,0.9923273921012878,0.0002500000118743628,0.02127538062632084,0.9991550445556641,0.9858173131942749,0.9990274310112,0.9993743896484375,0.9894861578941345,0.02387484349310398,0.9991148710250854,0.9686437845230103,0.9997814893722534,0.9996121525764465
17,0.9923616647720337,0.0002500000118743628,0.021181847900152206,0.9991983771324158,0.9858264923095703,0.9990874528884888,0.9993957281112671,0.989614725112915,0.023427577689290047,0.999073326587677,0.9690295457839966,0.9997686147689819,0.9995922446250916
18,0.9923952221870422,0.0002500000118743628,0.021072255447506905,0.9991837739944458,0.9859110116958618,0.9990674257278442,0.9993946552276611,0.9894861578941345,0.02367544360458851,0.9991100430488586,0.9686204195022583,0.9998071789741516,0.9996098279953003
19,0.9924216270446777,0.0001250000059371814,0.020888403058052063,0.9991938471794128,0.9859459400177002,0.9990845918655396,0.9994015097618103,0.9899880290031433,0.022561201825737953,0.9991259574890137,0.9702579975128174,0.999614417552948,0.999624490737915
20,0.992508053779602,0.0001250000059371814,0.020718183368444443,0.9992115497589111,0.986042857170105,0.9991588592529297,0.9994160532951355,0.9901041388511658,0.022420449182391167,0.9990875720977783,0.9706557989120483,0.9995501637458801,0.9996097683906555
21,0.9925030469894409,0.0001250000059371814,0.02075836807489395,0.9992151856422424,0.9860564470291138,0.9991345405578613,0.9994148015975952,0.9899631142616272,0.022641798481345177,0.9990915656089783,0.9701619148254395,0.9996401071548462,0.999608039855957
22,0.9925658702850342,6.25000029685907e-05,0.020614461973309517,0.9992192387580872,0.9861294031143188,0.9991859793663025,0.9994180202484131,0.990207850933075,0.022077716886997223,0.9991325736045837,0.9711705446243286,0.9993187785148621,0.9996311664581299
23,0.992570161819458,6.25000029685907e-05,0.0205586776137352,0.9992244839668274,0.9862062931060791,0.9991145730018616,0.9994255900382996,0.9902119636535645,0.02218508906662464,0.9991025328636169,0.9710885286331177,0.9994215965270996,0.9996172189712524
24,0.9925708770751953,6.25000029685907e-05,0.020515741780400276,0.9992228746414185,0.9861829876899719,0.9991402626037598,0.9994270205497742,0.9902119636535645,0.022089675068855286,0.9991257786750793,0.9710767269134521,0.9994344711303711,0.9996278285980225
25,0.9926008582115173,3.125000148429535e-05,0.02053181454539299,0.999207079410553,0.9861879348754883,0.99919593334198,0.999416172504425,0.9902036786079407,0.02202320098876953,0.9991472959518433,0.9709818959236145,0.9995115995407104,0.9996345043182373
26,0.9925886988639832,3.125000148429535e-05,0.02046806551516056,0.9991971850395203,0.986217737197876,0.9991402626037598,0.999414324760437,0.9902700185775757,0.021827345713973045,0.9991360902786255,0.9713643193244934,0.9993059039115906,0.9996328353881836
27,0.9926058650016785,3.125000148429535e-05,0.020438913255929947,0.9992309212684631,0.9862908720970154,0.9990988373756409,0.9994276762008667,0.9903571605682373,0.021758299320936203,0.9991353154182434,0.9716781973838806,0.9992416501045227,0.9996325969696045
28,0.9926051497459412,1.5625000742147677e-05,0.02045799419283867,0.9991925358772278,0.9862867593765259,0.9991016983985901,0.9994126558303833,0.9902327060699463,0.021947544068098068,0.9991352558135986,0.9712433218955994,0.9993187785148621,0.9996324777603149
29,0.9925915598869324,1.5625000742147677e-05,0.02039744146168232,0.9992483854293823,0.9862644672393799,0.9990974068641663,0.999440610408783,0.99027419090271,0.02185848355293274,0.9991426467895508,0.9713764786720276,0.9993059039115906,0.9996359348297119
30,0.9926244020462036,1.5625000742147677e-05,0.020360447466373444,0.9992543458938599,0.9862996339797974,0.9991273880004883,0.9994412660598755,0.9902907609939575,0.021813245490193367,0.999156653881073,0.9714249968528748,0.9993059039115906,0.9996389746665955
31,0.9925901293754578,7.812500371073838e-06,0.020428812131285667,0.999210774898529,0.9862726330757141,0.9990860223770142,0.9994229078292847,0.9902824759483337,0.021834447979927063,0.9991394281387329,0.9713889360427856,0.9993187785148621,0.9996345639228821
32,0.9925987124443054,7.812500371073838e-06,0.020474141463637352,0.9992180466651917,0.9862948060035706,0.9990803003311157,0.9994252324104309,0.9902492761611938,0.021888557821512222,0.9991253018379211,0.9712918400764465,0.9993187785148621,0.9996278882026672
33,0.9926294088363647,7.812500371073838e-06,0.020387616008520126,0.9992378354072571,0.9862997531890869,0.9991374015808105,0.9994319677352905,0.9902659058570862,0.021889451891183853,0.9991296529769897,0.9713404178619385,0.9993187785148621,0.9996263980865479
34,0.9926186800003052,3.906250185536919e-06,0.020367685705423355,0.9992609024047852,0.9862802624702454,0.9991359710693359,0.9994455575942993,0.9902907609939575,0.02184293419122696,0.999135434627533,0.9714249968528748,0.9993059039115906,0.9996327757835388
35,0.9925751686096191,3.906250185536919e-06,0.02042240835726261,0.9992077350616455,0.9862557649612427,0.9990731477737427,0.9994244575500488,0.9902617335319519,0.021873056888580322,0.9991264939308167,0.9713282585144043,0.9993187785148621,0.999628484249115
36,0.9925744533538818,3.906250185536919e-06,0.02039911411702633,0.9992517828941345,0.9862475395202637,0.9990803003311157,0.9994436502456665,0.9902451634407043,0.02188601903617382,0.9991375207901001,0.9712797403335571,0.9993187785148621,0.9996300935745239
37,0.9925879836082458,1.9531250927684596e-06,0.020379068329930305,0.9992316365242004,0.9862766861915588,0.9990774393081665,0.9994324445724487,0.9902576208114624,0.021866410970687866,0.9991397261619568,0.9713161587715149,0.9993187785148621,0.9996311664581299
